name;id;factions;category;class;models;counter;miniature;idleEffect;moveEffect;rotationEffect;weaponEffect;deathEffect;antiSubEffect;antiAirEffect;chassis;available;expire;series;cost;supply;production;mp;ap;steps;fuel;strength;range;LOS;radar;shock;assault;bombardment;blast;cargo;carrier;transport;switch;spawn;torpedo;attack type;defense type;inf att;veh att;air sml att; air lrg att; nav sml att; nav lrg att; sub att;inf def;veh def;bomb def;air def;nav def;torp def;land def;traits;specialisation;construction
type94_37mm_at_usa;456;usa, usarmy, marine_corps, ;land;anti_tank;37mm_Type94_USA 0 0, ;37mm_Type94_USA;;;towedlight;rotlighttow;at_37mm_03;;;;tow;1/1/1936;;;30;2;;2;1;1;;100;;4;;;;;;;;horse_transport, us_truck, m3_halftrack, m3a1_halftrack, ;;;;mechanical;infantry;1;8;;;;;;5;12;10;13;10;;;noPurchase,concealable,defensive,slowRepair,lightFreight,;;
75mm_m1;134;usa, redusa, usarmy, marine_corps, ;land;artillery;75mm_M1 0 0, ;75mm_M1;;;towedheavy;rotmediumtow;art_75mm_01;;;;mountain;1/1/1936;;;70;2;;1;1;1;;100;3;4;;10;1;;;;;horse_transport, us_truck, m3_halftrack, m3a1_halftrack, ;;;;artillery;infantry;8-4;8-4;;;;;;5;4;7;10;7;;;staticFire,;;
3inch_m5_art;352;usa, redusa, usarmy, marine_corps, ;land;artillery;3inch_M5_ART 0 0, ;3inch_M5_ART;;;towedheavy;rotmediumtow;art_76.2mm_02;;;;tow;31/9/1943;;;110;2;;1;1;1;;100;5;4;;10;1;;;;;horse_transport, us_truck, m3_halftrack, m3a1_halftrack, ;anti_tank:3inch_m5_at, ;;;artillery;infantry;8-4;8-4;;;;;;6;4;8;11;8;;;staticFire,;;
105mm_m2a1;50;usa, redusa, usarmy, marine_corps, ;land;artillery;105mm_M2 0 0, ;105mm_M2;;;towedheavy;rotmediumtow;art_105mm_04_case;;;;tow;1/1/1940;;;110;3;;1;1;1;;100;5;4;;10;1;;;;;horse_transport, us_truck, m3_halftrack, m3a1_halftrack, ;;;;artillery;infantry;9-6;9-6;;;;;;6;4;8;11;8;;;staticFire,;;
155mm_m1_longtom;136;usa, usarmy, marine_corps, ;land;artillery;155mm_M1 0 0, ;155mm_M1;;;towedheavy;rotmediumtow;art_155mm_04_case;;;;tow;1/1/1943;;;180;3;;1;1;1;;100;7;4;;15;2;;;;;us_truck, m3_halftrack, m3a1_halftrack, ;;;;artillery;infantry;10-8;10-8;;;;;;6;4;7;10;7;;;staticFire, transportRequired, heavyTreaded,;;
m3_75mm_gmc_art;111;usa, redusa, usarmy, marine_corps, ;land;artillery;M3_75mm_GMC_ART 0 0, ;M3_75mm_GMC_ART;;;alhalftrack;rotalhtracks;art_75mm_12_case;;;;halftrack;1/10/1941;1/11/1942;;110;5;;8;1;1;;100;4;4;;10;1;;;;;;anti_tank:m3_75mm_gmc_at, ;;;artillery;mechanical;8-4;7-4;;;;;;4;3;10;12;10;;;;;
T30_HMC;4760;usa, redusa, usarmy,;land;artillery;T30_HMC 0 0,;M3_75mm_GMC_ART;;;alhalftrack;rotalhtracks;art_75mm_12_case;;;;halftrack;1/10/1942;1/6/1943;;100;4;;8;1;1;;100;3;4;;10;1;;;;;;;;;artillery;mechanical;8-4;8-4;;;;;;8;5;10;12;10;;;;;
m8_75mm_hmc_art;260;usa, redusa, usarmy, marine_corps, ;land;artillery;M8_75mm_HMC_ART 0 0, ;M8_75mm_HMC_ART;;;altanklight;rotalltanks;art_75mm_02_case;;;;track;1/1/1943;;;140;5;;10;1;1;;100;3;4;;10;1;;;;;;anti_tank:m8_75mm_hmc_at, ;;;artillery;mechanical;8-4;8-4;;;;;;7;10;12;13;12;;;lightTreaded,;;
m45_pershing_art;274;usa, usarmy, redusa,;land;artillery;M45_Pershing_ART 0 0, ;M45_Pershing_ART;;;altankheavy;rotalhtanks;art_105mm_04_case;;;;track;10/4/1945;;;350;7;;6;1;1;;100;2;4;;10;1;;;;;;anti_tank:m45_pershing_at, ;;;artillery;mechanical;9-6;9-6;4;;;;;14;19;18;16;18;;;heavyTreaded,;;
m4_calliope_art;139;usa, usarmy, redusa,;land;artillery;M4_Calliope 0 0, ;M4_Calliope;;;altankmedium;rotalmtanks;calliope;;;;track;1/6/1944;;;300;6;;6;1;1;;100;2;4;;25;1;;;;;;anti_tank:m4_calliope_at, ;;;artillery;mechanical;5-3;5-3;;;;;;16;16;18;21;18;;;;;
m7_priest;141;usa, redusa, usarmy, marine_corps, ;land;artillery;M7_Priest 0 0, ;M7_Priest;;;altankmedium;rotalmtanks;art_105mm_04;;;;track;1/4/1943;;;160;5;;8;1;1;;100;5;4;;10;1;;;;;;;;;artillery;mechanical;9-6;9-6;;;;;;8;8;10;13;10;;;heavyTreaded,;;
m12_155mm_gmc;142;usa, redusa, usarmy, marine_corps, ;land;artillery;M12_155mm_GMC 0 0, ;M12_155mm_GMC;;;altankmedium;rotalmtanks;art_155mm_04_case;;;;track;1/10/1943;;;260;6;;6;1;1;;100;7;4;;15;2;;;;;;;;;artillery;mechanical;10-8;10-8;;;;;;8;8;10;13;10;;;heavyTreaded,;;
70mm_type92_usa;1084;usa, usarmy, marine_corps, ;land;artillery;70mm_Type92_USA 0 0, ;70mm_Type92;;;towedlight;rotlighttow;art_75mm_01,0;;;;mountain;1/1/1936;;;40;2;;2;1;1;;100;2;4;;5;1;;;;;horse_transport, us_truck, m3_halftrack, m3a1_halftrack, ;;;;artillery;infantry;7-3;7-3;;;;;;5;4;7;10;7;;;noPurchase,concealable,defensive,slowRepair,lightFreight,;;
37mm_m1_aa;276;usa, redusa, usarmy, marine_corps, ;land;anti_air;37mm_M1_AA 0 0, ;37mm_M1_AA;;;towedlight;rotaalmech;flaksingle_37mm;;;;tow;1/8/1941;1/9/1942;;30;2;;2;1;1;;100;2;4;;;;;;;;horse_transport, us_truck, m3_halftrack, m3a1_halftrack, ;anti_tank:37mm_m1_at, ;;;mechanical;infantry;2;1;7;4;;;;6;4;7;10;7;;;fixedFire,lightFreight,;;
40mm_bofors_aa;459;usa, redusa, usarmy, marine_corps, ;land;anti_air;40mm_Bofors_AA 0 0, ;40mm_Bofors_AA;;;towedlight;rotaalmech;flaksingle_40mm;;;;tow;1/9/1942;;;50;2;;2;1;1;;100;2;4;;;;;;;;horse_transport, us_truck, m3_halftrack, m3a1_halftrack, ;;;;mechanical;infantry;2;1;12;5;;;;6;4;7;10;7;;;fixedFire,lightFreight,;;
90mm_m1a1_aa;143;usa, usarmy, marine_corps, ;land;anti_air;90mm_M1A1_AA 0 0, ;90mm_M1A1_AA;;;towedheavy;rotaahmech;aa_90mm;;;;platform;1/6/1941;13/5/1943;;60;2;;1;1;1;;100;2;4;;;;;;;;horse_transport, us_truck, m3_halftrack, m3a1_halftrack, ;;;;mechanical;infantry;3;1;5;9;;;;7;4;10;13;10;;;fixedBase,;;
90mm_m2_aa;503;usa, usarmy, marine_corps, ;land;anti_air;90mm_M2_AA 0 0, ;90mm_M2_AA;;;towedheavy;rotaahmech;aa_90mm;;;;platform;13/5/1943;;;60;2;;1;1;1;;100;2;4;;;;;;;;horse_transport, us_truck, m3_halftrack, m3a1_halftrack, ;anti_tank:90mm_m2_at, ;;;mechanical;infantry;4;1;7;12;;;;8;4;10;13;10;;;fixedBase,;;
T28E_cgmc;4759;usa, redusa, usarmy,;land;anti_air;T28E_CGMC 0 0,;M15_CGMC;;;alhalftrack;rotalhtracks;m15a1_cgmc;;;;halftrack;1/10/1942;1/5/1943;;50;4;;8;1;1;;100;2;4;;;;;;;;;;;;mechanical;mechanical;2;1;8;4;;;;6;6;10;13;10;;;fixedFire,;;
m15_cgmc;488;usa, usarmy, marine_corps, ;land;anti_air;M15_CGMC 0 0, ;M15_CGMC;;;alhalftrack;rotalhtracks;m15a1_cgmc;;;;halftrack;1/3/1943;1/10/1943;;55;4;;8;1;1;;100;2;4;;;;;;;;;anti_tank:m15_cgmc_at, ;;;mechanical;mechanical;2;1;8;4;;;;8;7;10;13;10;;;fixedFire,;;
m15a1_cgmc;144;usa, usarmy, marine_corps, ;land;anti_air;M15A1_CGMC 0 0, ;M15A1_CGMC;;;alhalftrack;rotalhtracks;m15a1_cgmc;;;;halftrack;1/10/1943;4/11/1943;;55;4;;8;1;1;;100;2;4;;;;;;;;;anti_tank:m15a1_cgmc_at, ;;;mechanical;mechanical;2;1;9;4;;;;8;7;10;13;10;;;fixedFire,;;
m16_mgmc;145;usa, usarmy, marine_corps, ;land;anti_air;M16_MGMC 0 0, ;M16_MGMC;;;alhalftrack;rotalhtracks;flakquad_20mm;;;;halftrack;4/11/1943;;;60;4;;8;1;1;;100;2;4;;;;;;;;;anti_tank:m16_mgmc_at, ;;;mechanical;mechanical;2-3;1;10;3;;;;10;7;10;13;10;;;fixedFire,;;
t85_mgmc;272;usa, redusa, usarmy,;land;anti_air;T85_MGMC 0 0, ;T85_MGMC;;;altanklight;rotalltanks;flakquad_20mm;;;;track;8/7/1944;17/4/1945;;80;4;;8;1;1;;100;2;4;;;;;;;;;anti_tank:t85_mgmc_at, ;;;mechanical;mechanical;2-3;1;12;4;;;;10;8;10;13;10;;;fixedFire,;;
m19_gmc;271;usa, redusa, usarmy,;land;anti_air;M19_MGMC 0 0, ;M19_MGMC;;;altanklight;rotalltanks;flakdual_40mm;;;;track;17/4/1945;;;80;4;;8;1;1;;100;2;4;;;;;;;;;anti_tank:m19_gmc_at, ;;;mechanical;mechanical;2-3;1;11;6;;;;10;10;10;13;10;;;fixedFire,;;
p36_hawk;461;usa, redusa, usarmy, ;air;fighter;P36_Hawk 0 0, ;P36_Hawk;;;alf_veesin;;strafeattack;;;airwings50brown_01;wing;23/4/1938;1/1/1941;;70;3;;10;1;1;7;100;;3;6;;;;;;;;;;;small;small;4;2;7;8;2;1;;;;;8;11;;11;dogfighter,;;
F2A_Buffalo;1069;usa, redusa, marine_corps;air;fighter;F2A_Buffalo 0 0, ;F2A_Buffalo;;;alf_veesin;;strafeattack;;;airwings50brown_01;wing;14/4/1939;12/12/1941;;80;3;;10;1;1;8;100;;3;6;;;;;;carrier,;;;;;small;small;4;3;7;9;2;1;;;;;8;11;;11;dogfighter,carrierPlane;;
p40b_warhawk;34;usa, redusa, usarmy, ;air;fighter;P40B_Warhawk 0 0, ;P40B_Warhawk;;;alf_veesin;;strafeattack;;;airwings50brown_01;wing;7/3/1941;20/1/1942;p40;80;3;;11;1;1;7;100;;3;6;;;;;;;;;;;small;small;4;4;9;9;3;2;;;;;8;11;;11;dogfighter,;;
p40f_warhawk;295;usa, redusa, usarmy, ;air;fighter;P40F_Warhawk 0 0, ;P40F_Warhawk;;;alf_veesin;;bomb;;;airwings50brown_01;wing;20/1/1942;7/8/1942;p40;85;3;;11;1;1;7;100;;3;6;;;;;;;;;;;small;small;5;4;10;10;3;2;;;;;9;11;;11;dogfighter,;;
p40k_warhawk;300;usa, redusa, usarmy, ;air;fighter;P40K_Warhawk 0 0, ;P40K_Warhawk;;;alf_veesin;;bomb;;;airwings50brown_01;wing;7/8/1942;;p40;90;3;;11;1;1;8;100;;3;6;;;;;;;;;;;small;small;5;4;11;10;4;2;;;;;10;11;;11;dogfighter,;;
f4f3_wildcat;147;usa, redusa, usarmy, marine_corps, ;air;fighter;F4F3_Wildcat 0 0, ;F4F3_Wildcat;Wildcat;;alf_radsin;;bomb;;;airwings50brown_01;wing;1/2/1940;12/11/1941;f4f;80;3;;10;1;1;12;100;;3;6;;;;;;carrier,;;;;;small;small;4;4;8;7;3;2;;;;;8;12;;12;dogfighter,carrierPlane;;
f4f4_wildcat;299;usa, redusa, usarmy, marine_corps, ;air;fighter;F4F4_Wildcat 0 0, ;F4F4_Wildcat;Wildcat;;alf_radsin;;bomb;;;airwings50brown_01;wing;12/11/1941;;f4f;85;3;;10;1;1;12;100;;3;6;;;;;;carrier,;;;;;small;small;5;4;9;8;3;2;;;;;8;12;;12;dogfighter,carrierPlane;;
f6f3_hellcat;152;usa, redusa, usarmy, marine_corps, ;air;fighter;F6F3_Hellcat 0 0, ;F6F3_Hellcat;Wildcat;;alf_radsin;;bomb;;;air20mmhispano_01;wing;14/8/1943;26/4/1944;f6f;110;3;;12;1;1;13;100;;3;6;;;;;;carrier,;;;;;small;small;5;4;10;9;4;2;;;;;14;14;;14;dogfighter,carrierPlane;;
f6f5_hellcat;301;usa, redusa, usarmy, marine_corps, ;air;fighter;F6F5_Hellcat 0 0, ;F6F5_Hellcat;Wildcat;;alf_radsin;;bomb;;;air20mmhispano_01;wing;26/4/1944;;f6f;130;3;;12;1;1;13;100;;3;6;;;;;;carrier,;;;;;small;small;5;4;11;9;4;2;;;;;14;14;;14;dogfighter,carrierPlane;;
f4u1_corsair;155;usa, redusa, usarmy, marine_corps, ;air;fighter;F4U1_Corsair 0 0, ;F4U1_Corsair;Wildcat;;alf_radsin;;bomb;;;airwings50brown_01;wing;18/4/1943;23/4/1944;f4u;105;3;;13;1;1;13;100;;3;6;;;;;;carrier,;;;;;small;small;5;4;11;9;4;2;;;;;11;12;;12;dogfighter,carrierPlane;;
f4u-1d_corsair;297;usa, redusa, usarmy, marine_corps, ;air;fighter;F4U-1D_Corsair 0 0, ;F4U-1D_Corsair;Wildcat;;alf_radsin;;bomb;;;airwings50brown_01;wing;23/4/1944;15/11/1944;f4u;115;3;;13;1;1;13;100;;3;6;;;;;;carrier,;;;;;small;small;5;4;12;10;4;2;;;;;12;12;;12;dogfighter,carrierPlane;;
f4u-4_corsair;298;usa, redusa, usarmy, marine_corps, ;air;fighter;F4U-4_Corsair 0 0, ;F4U-4_Corsair;Wildcat;;alf_radsin;;bomb;;;airwings50brown_01;wing;15/11/1944;;f4u;130;3;;14;1;1;13;100;;3;6;;;;;;carrier,;;;;;small;small;5;4;13;10;4;2;;;;;13;12;;12;dogfighter,carrierPlane;;
f8f_bearcat;226;usa, usarmy, marine_corps, ;air;fighter;F8F_Bearcat 0 0, ;F8F_Bearcat;Wildcat;;alf_radsin;;strafeattack;;;air20mmhispano_02;wing;21/5/1945;;;145;3;;14;1;1;12;100;;3;6;;;;;;carrier,;;;;;small;small;5;6;13;11;4;2;;;;;14;15;;15;dogfighter,carrierPlane;;
p38g_lightning;149;usa, usarmy, ;air;fighter;P38G_Lightning 0 0, ;P38G_Lightning;;;alf_veetw;;strafeattack;;;airwings50brown_01;wing;9/8/1942;16/8/1943;p38;120;3;;12;1;1;12;100;;3;6;;;;;;;;;;;small;small;10;10;9;12;7;4;;;;;11;15;;15;interceptor,groundAttack,;;
p38j_lightning;289;usa, usarmy, ;air;fighter;P38J_Lightning 0 0, ;P38J_Lightning;;;alf_veetw;;strafeattack;;;airwings50brown_01;wing;16/8/1943;22/6/1944;p38;130;3;;13;1;1;12;100;;3;6;;;;;;;;;;;small;small;10;10;10;12;7;4;;;;;12;15;;15;interceptor,groundAttack,;;
p38l_lightning;293;usa, usarmy, ;air;fighter;P38L_Lightning 0 0, ;P38L_Lightning;;;alf_veetw;;strafeattack;;;airwings50brown_01;wing;22/6/1944;;p38;140;3;;13;1;1;12;100;;3;6;;;;;;;;;;;small;small;11;11;11;13;7;4;;;;;13;15;;15;interceptor,groundAttack,;;
Spitfire_V_US;4763;usa, redusa, usarmy;air;fighter;Spitfire_V_US;;;;alf_veesin;;strafeattack;;;airwings50brown_01;wing;1/10/1942;1/5/1943;spitfire;95;3;;12;1;1;8;100;;3;6;;;;;;;;;;;small;small;5;4;11;10;1;1;;;;;11;10;;12;dogfighter,;;
p47c_thunderbolt;150;usa, usarmy, ;air;fighter;P47C_Thunderbolt 0 0, ;P47C_Thunderbolt;;;alf_radsin;;bomb_mg;;;airwings50brown_01;wing;15/1/1943;15/10/1943;p47;100;3;;13;1;1;9;100;;3;6;;;;;;;;;;;small;small;6;6;10;10;4;2;;;;;13;12;;12;dogfighter,;;
p47d_thunderbolt;296;usa, usarmy, ;air;fighter;P47D_Thunderbolt 0 0, ;P47D_Thunderbolt;;;alf_radsin;;bomb_mg;;;airwings50brown_01;wing;15/10/1943;15/12/1944;p47;115;3;;14;1;1;10;100;;3;6;;;;;;;;;;;small;small;6;6;11;11;4;2;;;;;14;13;;13;dogfighter,;;
p47n_thunderbolt;302;usa, usarmy, ;air;fighter;P47N_Thunderbolt 0 0, ;P47N_Thunderbolt;;;alf_radsin;;bomb_mg;;;airwings50brown_01;wing;15/12/1944;;p47;140;3;;14;1;1;11;100;;3;6;;;;;;;;;;;small;small;6;6;12;11;4;2;;;;;16;14;;14;dogfighter,;;
p51b_mustang;151;usa, usarmy, ;air;fighter;P51B_Mustang 0 0, ;P51B_Mustang;;;alf_veesin;;strafeattack;;;airwings50brown_01;wing;22/7/1943;18/3/1944;p51;95;3;;14;1;1;11;100;;3;6;;;;;;;;;;;small;small;5;5;12;10;3;2;;;;;11;12;;12;dogfighter,;;
p51d_mustang;303;usa, usarmy, ;air;fighter;P51D_Mustang 0 0, ;P51D_Mustang;;;alf_veesin;;strafeattack;;;airwings50brown_01;wing;18/3/1944;12/7/1945;p51;110;3;;14;1;1;12;100;;3;6;;;;;;;;;;;small;small;5;5;13;11;3;2;;;;;12;12;;12;dogfighter,;;
p51h_mustang;304;usa, usarmy, ;air;fighter;P51H_Mustang 0 0, ;P51H_Mustang;;;alf_veesin;;strafeattack;;;airwings50brown_01;wing;12/7/1945;;p51;130;3;;15;1;1;12;100;;3;6;;;;;;;;;;;small;small;5;5;14;11;3;2;;;;;13;12;;12;dogfighter,;;
A36_Apache;4761;usa, usarmy,;air;fighter;A36_Apache 0 0,;P51B_Mustang;;;alf_veesin;;strafeattack;;;airwings50brown_01;wing;1/6/1943;1/5/1944;p51;100;3;;13;1;1;8;100;;3;6;;;;;;;;;;;small;small;12;10;10;9;6;2;;;;;11;12;;12;groundAttack, precisionStrike;;
p80_shootingstar;224;usa, usarmy, ;air;fighter;P80_ShootingStar 0 0, ;P80_ShootingStar;;;AlF_Jet;;jetstrafe;;;jetattack;wing;18/6/1945;;;160;3;;17;1;1;9;100;;3;6;;;;;;;;;;;small;small;6;6;15;11;4;2;;;;;16;14;;14;dogfighter,;advanced_aeronautics;
p61b_blackwidow;225;usa, usarmy, marine_corps, ;air;fighter;P61B_BlackWidow 0 0, ;P61B_BlackWidow;;;alf_radtw;;strafeattackquad;;;airmgx2;wing;12/8/1944;22/7/1945;p61;145;3;;12;1;1;12;100;;3;6;;;;;;;;;;;small;small;10;10;9;14;7;4;;;;;14;15;;15;interceptor,groundAttack,;;
p61c_blackwidow;288;usa, usarmy, marine_corps, ;air;fighter;P61C_BlackWidow 0 0, ;P61C_BlackWidow;;;alf_radtw;;strafeattackquad;;;airmgx2;wing;22/7/1945;;p61;160;3;;12;1;1;12;100;;3;6;;;;;;;;;;;small;small;10;10;10;15;7;4;;;;;14;15;;15;interceptor,groundAttack,;;
a6m5_zero_usa;346;usa, usarmy, marine_corps, ;air;fighter;A6M_Zero_USA 0 0, ;A6M_Zero_USA;Wildcat;;axf_radsin;;strafeattack;;;air20mmho-5_01;wing;23/4/1944;29/2/1945;;110;3;;10;1;1;14;100;;3;6;;;;;;carrier,;;;;;small;small;4;3;12;9;3;2;;;;;11;10;;10;dogfighter,noPurchase,slowRepair,carrierPlane;;
ki-45_toryu_usa;347;usa, usarmy, marine_corps, ;air;fighter;Ki-45_Toryu_USA 0 0, ;Ki-45_Toryu_USA;;;axf_radsin;;bomb_mg;;;air20mmho-5_01;wing;1/2/1942;1/3/1944;;85;3;;11;1;1;10;100;;3;6;;;;;;;;;;;small;small;6;6;8;10;4;2;;;;;10;15;;15;dogfighter,noPurchase,slowRepair,;;
ki-44-iic_shoki_usa;348;usa, usarmy, marine_corps, ;air;fighter;Ki-44_Shoki_USA 0 0, ;Ki-44_Shoki_USA;;;axf_radsin;;strafeattack;;;airwings50ho-103_01;wing;12/11/1942;;;90;3;;11;1;1;12;100;;3;6;;;;;;;;;;;small;small;4;4;13;9;3;2;;;;;9;11;;11;dogfighter,noPurchase,slowRepair,;;
ki-84_hayate_usa;351;usa, usarmy, marine_corps, ;air;fighter;Ki-84_Hayate_USA 0 0, ;Ki-84_Hayate_USA;;;axf_radsin;;strafeattack;;;air20mmho-5_01;wing;14/6/1944;/;;130;3;;13;1;1;9;100;;3;6;;;;;;;;;;;small;small;5;5;14;11;4;2;;;;;14;12;;12;dogfighter,noPurchase,slowRepair,;;
n1k2-j_shiden-kai_usa;350;usa, usarmy, marine_corps, ;air;fighter;N1K2-J_Shiden_USA 0 0, ;N1K2-J_Shiden_USA;;;axf_radsin;;strafeattack;;;air20mmho-5_01;wing;17/12/1944;/;;115;3;;12;1;1;8;100;;3;6;;;;;;;;;;;small;small;4;6;13;12;4;2;;;;;13;13;;13;dogfighter,noPurchase,slowRepair,;;
p47d_thunderbolt_rocket;1092;usa, usarmy, ;air;fighter;P47D_Thunderbolt_Rocket 0 0, ;P47D_Thunderbolt;;;alf_radsin;;RocketStrafeAttack;;;airwings50brown_01,4;wing;15/10/1943;15/12/1944;p47;115;3;;14;1;1;10;100;;3;6;;;;;;;;;;;small;small;9;9;10;12;7;3;;;;;12;13;;13;groundAttack,noPurchase;;
tbd_devastator;161;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;TBD_Devastator 0 0, ;TBD_Devastator;Wildcat;;alb_radsin;;airtorpedo;;;airdef30m1919_01;wing;3/8/1937;15/5/1942;;100;3;;8;1;1;12;100;1;3;6;/;;;;;carrier,;;bomb:tbd_devastator_b, ;;3, 1, 17;small;small;;;2;;;;;;;;6;12;;14;defensiveFire,carrierPlane;;
tbf1_avenger;156;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;TBF1_Avenger 0 0, ;TBF1_Avenger;Wildcat;;alb_radsin;;airtorpedo;;;airdef50m2an_01;wing;15/5/1942;15/4/1944;tbm;120;3;;8;1;1;12;100;1;3;6;/;;;;;carrier,;;bomb:tbf1_avenger_b, ;;3, 1, 19;small;small;;;3;;;;;;;;8;13;;15;defensiveFire,carrierPlane;;
tbm-3e_avenger;305;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;TBM-3E_Avenger 0 0, ;TBM-3E_Avenger;Wildcat;;alb_radsin;;airtorpedo;;;airdef50m2an_01;wing;15/4/1944;/;tbm;140;3;;8;1;1;12;100;1;3;6;/;;;;;carrier,;;bomb:tbm-3e_avenger_b, ;;3, 1, 19;small;small;;;4;;;;;;;;9;13;;15;defensiveFire,carrierPlane;;
sb2c-1_helldiver_t;158;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;SB2C-1_Helldiver 0 0, ;SB2C-1_Helldiver;Wildcat;;alb_radsin;;airtorpedo;;;airdef50m2an_01;wing;18/6/1943;9/2/1944;sb2;170;3;;8;1;1;12;100;1;3;6;/;;;;;carrier,;;bomb:sb2c-1_helldiver_b, ;;3, 1, 20;small;small;;;3;;;;;;;;11;14;;14;defensiveFire,carrierPlane;;
sb2c-3_helldiver_t;306;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;SB2C-3_Helldiver 0 0, ;SB2C-3_Helldiver;Wildcat;;alb_radsin;;airtorpedo;;;airdef50m2an_01;wing;9/2/1944;27/6/1944;sb2;180;3;;8;1;1;12;100;1;3;6;/;;;;;carrier,;;bomb:sb2c-3_helldiver_b, ;;3, 1, 20;small;small;;;3;;;;;;;;12;14;;15;defensiveFire,carrierPlane;;
sb2c-4_helldiver_t;307;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;SB2C-4_Helldiver 0 0, ;SB2C-4_Helldiver;Wildcat;;alb_radsin;;airtorpedo;;;airdef50m2an_01;wing;27/6/1944;/;sb2;200;3;;8;1;1;12;100;1;3;6;/;;;;;carrier,;;bomb:sb2c-4_helldiver_b, ;;3, 1, 20;small;small;;;4;;;;;;;;12;14;;15;defensiveFire,carrierPlane;;
tby_seawolf;146;usa, usarmy, ;air;tactical_bomber;TBY_SeaWolf 0 0, ;TBY_SeaWolf;Wildcat;;alb_radsin;;airtorpedo;;;airdef50m2an_01;wing;1/7/1944;/;;200;3;;9;1;1;12;100;1;3;6;/;;;;;carrier,;;;;3, 1, 20;small;small;;;4;;;;;;;;12;15;;15;defensiveFire,carrierPlane;;
btd_destroyer_t;159;usa, usarmy, ;air;tactical_bomber;BTD_Destroyer 0 0, ;BTD_Destroyer;Wildcat;;alb_radsin;;airtorpedo;;;airdef50m2an_01;wing;14/8/1944;/;;250;3;;10;1;1;12;100;1;3;6;/;;;;;carrier,;;bomb:btd_destroyer_b, ;;3, 1, 21;small;small;;;4;;;;;;;;13;16;;15;defensiveFire,carrierPlane;;
tbd_devastator_b;523;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;TBD_Devastator 0 0, ;TBD_Devastator;Wildcat;;alb_radsin;;bomb;;;airdef30m1919_01;wing;3/8/1937;15/5/1942;;100;3;;8;1;1;12;100;;3;6;5;;;;;carrier,;;torpedo:tbd_devastator, ;;;small;small;9;9;2;;9;6;;;;;6;12;;14;defensiveFire,carrierPlane;;
tbf1_avenger_b;524;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;TBF1_Avenger 0 0, ;TBF1_Avenger;Wildcat;;alb_radsin;;bomb;;;airdef50m2an_01;wing;15/5/1942;15/4/1944;tbm;120;3;;8;1;1;12;100;;3;6;5;;;;;carrier,;;torpedo:tbf1_avenger, ;;;small;small;10;10;3;;10;6;;;;;8;13;;15;defensiveFire,carrierPlane;;
tbm-3e_avenger_b;525;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;TBM-3E_Avenger 0 0, ;TBM-3E_Avenger;Wildcat;;alb_radsin;;bomb;;;airdef50m2an_01;wing;15/4/1944;/;tbm;140;3;;8;1;1;12;100;;3;6;5;;;;;carrier,;;torpedo:tbm-3e_avenger, ;;;small;small;10;10;4;;10;6;;;;;9;13;;15;defensiveFire,carrierPlane;;
sbd2_dauntless;160;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;SBD2_Dauntless 0 0, ;SBD2_Dauntless;Wildcat;;alb_radsin;;bomb;;;airdef30m1919twin_01;wing;1/1/1941;1/1/1942;sbd;110;3;;8;1;1;12;100;;3;6;5;;;;;carrier,;;;;;small;small;10;10;3;;12;7;;;;;8;12;;14;defensiveFire,carrierPlane,precisionStrike;;
sbd3_dauntless;308;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;SBD3_Dauntless 0 0, ;SBD3_Dauntless;Wildcat;;alb_radsin;;bomb;;;airdef30m1919twin_01;wing;1/1/1942;1/10/1942;sbd;120;3;;8;1;1;12;100;;3;6;5;;;;;carrier,;;;;;small;small;11;10;3;;12;7;;;;;9;12;;14;defensiveFire,carrierPlane,precisionStrike;;
sbd4_dauntless;309;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;SBD4_Dauntless 0 0, ;SBD4_Dauntless;Wildcat;;alb_radsin;;bomb;;;airdef30m1919twin_01;wing;1/11/1942;1/2/1943;sbd;130;3;;8;1;1;12;100;;3;6;5;;;;;carrier,;;;;;small;small;11;11;3;;12;8;;;;;10;13;;15;defensiveFire,carrierPlane,precisionStrike;;
sbd5_dauntless;310;usa, redusa, usarmy, marine_corps, ;air;tactical_bomber;SBD5_Dauntless 0 0, ;SBD5_Dauntless;Wildcat;;alb_radsin;;bomb;;;airdef30m1919twin_01;wing;1/6/1943;/;sbd;140;3;;8;1;1;12;100;;3;6;5;;;;;carrier,;;;;;small;small;12;11;3;;12;8;;;;;11;14;;15;defensiveFire,carrierPlane,precisionStrike;;
